Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan
8.783997,1.4111567,1.3512274,0.45700842,-0.27803665,0.9160549,1.0365311,0.16143748,4.8944836,1.4643446,9.792333,5.8450503,4.583006,7.6661453,4.9773736,0.6437308,1.3100061,2
2.086403,1.0377182,1.0585117,0.4346841,0.30624753,0.4853053,0.79799306,-0.017557144,0.95132065,0.93064964,2.134109,0.8368724,0.9542956,1.0077523,3.100214,0.50735927,1.9119998,0
2.5201476,0.7923213,1.2510029,0.4616261,0.30045396,0.5433502,0.8282311,-0.01595147,0.7935703,1.1892284,3.961207,0.858582,1.1497208,1.0996184,6.6645427,0.20127241,1.8346379,2
2.8639524,1.0037236,1.3362554,0.28564703,0.19204831,0.46162724,0.6304431,-0.03228067,1.391855,1.1453134,3.070411,0.9846566,1.1566501,1.1284344,5.09842,0.40113717,2.0501196,0
1.7593746,1.3268652,1.2899711,0.4408018,0.41793656,0.5301745,0.87669075,-0.04087251,1.4167283,1.1328443,2.4482536,1.0353136,1.1649458,1.2395035,3.749845,0.53821236,2.1073651,0
1.7942922,1.3589959,1.2252533,0.63186234,0.5540238,0.59558904,1.1092696,-0.016588848,1.0319817,1.1184297,2.1631947,1.0078149,1.0582337,1.2636969,2.8963237,0.680085,2.1263175,0
3.5188808,1.1985908,1.9282781,0.40516472,0.27052703,0.46969247,0.8335737,-0.001155354,1.3572029,0.88649297,2.333922,0.9848622,1.3261169,1.0169101,2.985799,0.5425249,1.8339821,0
1.9853876,0.43399116,1.4279857,0.33094,0.15445018,0.5677395,0.58901066,-0.04908746,0.93325794,1.2201056,4.998084,0.9148261,1.3362817,0.9969739,10.319737,0.051413946,2.2682853,2
7.228043,1.3110452,1.2711666,0.8611472,0.9602207,0.71190816,1.5595161,-0.075883746,1.5600917,1.3559864,0.24784929,1.6112938,1.4853812,0.90600634,2.0611055,1.5698125,4.7405944,0
1.3927345,0.66354805,1.2235508,0.36811382,0.2331709,0.5334605,0.64427125,-0.049309447,1.1233411,1.1092263,3.5940547,0.8819114,1.0830128,1.0338503,7.3401814,0.24627393,2.3332448,0
2.7292857,1.3615537,1.3943471,0.40453577,0.35502988,0.56896615,0.8326343,-0.031376313,1.435724,1.1945113,2.7701232,1.0201067,1.2618635,1.3150342,3.8925004,0.51187646,1.9343721,2
0.7960263,1.362332,1.2022843,0.5048019,0.5061721,0.5636182,0.9545407,-0.051386155,1.3512696,1.0827516,2.277675,1.0008022,1.1432679,1.2277815,3.673017,0.5203266,2.1389804,2
1.3991702,2.0038786,6.0367575,0.6379014,0.5412802,0.64694345,1.5105383,0.060403816,2.0626707,0.7253207,4.0891457,1.2620752,2.7630668,1.4862732,4.5490856,0.35852462,0.92290765,2
1.3246357,0.9832247,1.1480845,0.3916841,0.31122687,0.51057756,0.7371301,-0.04521819,1.1924527,1.0217737,2.7145317,0.89105874,1.0670478,1.0599178,4.9191113,0.37847948,2.114065,0
3.4136548,0.7261422,1.3133289,0.6013536,0.36152858,0.59674823,0.9996445,0.015435733,0.4303864,1.2919081,4.3816023,0.86387926,1.1279247,1.1595035,6.984473,0.25109857,1.7905002,2
2.0488436,1.1683049,1.1609734,0.37853456,0.2986332,0.47030464,0.7666902,-0.024733985,1.259108,1.0005369,2.2126696,0.91059446,1.0481046,1.0824115,3.3117437,0.5059204,1.9678644,0
5.899982,1.3736839,1.687421,0.6291877,0.4373513,0.58559585,1.1349689,0.040253267,1.1244078,1.4723607,2.904546,1.2723911,1.1768336,1.4840441,3.1646762,0.95046455,2.283227,0
2.3293896,1.0815809,1.1923766,0.3901512,0.28371236,0.51442504,0.7535834,-0.026456485,1.1473284,1.0337512,2.5728183,0.8888522,1.0827837,1.1034342,3.9532857,0.4530247,1.9314599,0
1.1139896,0.46651396,2.027015,0.20024337,0.090621,0.71652347,0.49774444,-0.10613068,0.58541894,1.00151,6.7943106,1.1795707,2.471757,0.6379039,15.7236595,-0.024460435,2.2681332,0
2.826948,1.3897406,1.332307,0.42829037,0.349464,0.64539075,0.84366894,-0.026376516,1.2476324,1.1307653,2.7944052,0.8850688,1.2987087,1.3226072,3.56355,0.44246322,1.6466222,2
0.9560946,1.5371866,1.4154856,0.51160926,0.56872636,0.59790796,1.010018,-0.061520506,1.6655598,1.2675674,2.6500099,1.1624396,1.2990348,1.4121273,4.3584356,0.55882055,2.3061838,2
4.5055494,0.3291648,1.4500711,0.88187945,0.50123465,0.7514483,1.3517476,0.06569045,-0.5196119,1.6374198,7.0720243,0.8044797,1.2658309,1.262689,11.390226,-0.13042448,1.4393659,2
1.855572,1.2410223,1.3167791,0.35243192,0.30485618,0.48357394,0.7562282,-0.031250056,1.5609298,1.1288419,2.6455126,0.9996456,1.1594827,1.1934996,4.4618096,0.47218364,2.1259003,0
-2.7302015,-1.3344209,-0.45133337,1.2816513,2.0878398,1.7041545,1.4850214,0.38303134,1.7142572,0.23697375,7.1698933,5.727517,6.4713793,2.9252727,-0.44875455,-0.50617075,0.7734146,0
1.5135075,1.1656892,1.0621558,0.44561213,0.42250553,0.50845724,0.894081,-0.043076128,1.1586897,0.98717153,1.7431214,0.9260751,1.0416963,1.0361137,2.8713155,0.6091529,2.267637,0
1.3484104,0.4063111,1.2449118,0.49617577,0.2772003,0.60942507,0.74341786,-0.037406154,0.78523856,1.1825066,4.1944838,0.85722506,1.0250523,1.0360273,8.981411,0.2274751,2.563912,2
3.3468063,1.5822601,1.5093006,0.5220517,0.446546,0.7551435,0.992044,-0.01941641,1.2822459,1.2906672,3.149636,0.95796084,1.4424784,1.5329323,3.7785158,0.5011491,1.6348202,2
2.1537216,0.5835817,1.161177,0.30511293,0.12599537,0.47629768,0.55085546,-0.03355379,1.0151339,1.0264552,3.3670712,0.8173951,1.0079963,0.93661106,6.5681415,0.25963628,2.161879,0
1.5333476,0.48862067,1.3978126,0.47040486,0.28724906,0.6213775,0.737507,-0.045947302,1.0286224,1.3091087,4.529473,0.9636664,1.1377347,1.1473595,9.665614,0.22792572,2.6763828,2
1.0483567,1.3157871,1.2298048,0.3807279,0.3974325,0.51182634,0.7980317,-0.05967481,1.5343726,1.0753286,2.4042833,1.0018692,1.1836578,1.1906737,3.9896822,0.44640774,2.0872707,0
4.2893577,0.94104636,1.0720544,0.36093003,0.22549611,0.44341105,0.66390085,-0.0299748,1.219229,0.89516294,1.9706452,0.93984425,1.0765771,0.8288425,3.2042508,0.56096345,2.2353752,0
3.7684834,1.8521056,5.8828783,0.575257,0.38048267,0.557067,1.3877115,0.091497906,1.8727801,0.5733732,3.4982078,1.2000588,2.644663,1.258529,2.8835196,0.47455513,0.79921687,2
4.6737275,-0.4189667,1.6206319,0.62338614,0.26507354,0.7858847,0.9988198,0.071792,-0.19035983,1.9090612,10.196903,1.1234231,1.2536259,1.1403923,19.581444,-0.5216571,2.4341302,0
1.5645384,1.1848636,1.1090374,0.41541404,0.35467467,0.4939084,0.807372,-0.035679027,1.1946325,0.9715756,2.130763,0.89912885,1.043558,1.0792373,3.1954403,0.49065244,1.9575286,0
1.1901168,1.0764611,1.3117541,0.4316004,0.3880919,0.56140804,0.81184673,-0.05527328,1.3836305,1.180529,3.1379294,1.0127013,1.184644,1.2093941,5.9075155,0.39217305,2.3142097,2
5.9440804,1.0716685,1.1426051,0.51797163,0.3855164,0.51107067,0.8586825,-0.031049157,1.3177707,0.96498144,1.685121,1.1199121,1.1976441,0.8353542,2.7793722,0.7791006,2.6773024,0
1.6978981,0.014998972,1.2857649,0.536461,0.2172935,0.64921373,0.71940637,-0.02586427,0.46172237,1.2671833,5.198972,0.80223185,0.99803895,0.98808324,11.417755,0.08959485,2.6953142,2
1.6435015,1.256515,1.204594,0.4128191,0.4022207,0.50887036,0.85813725,-0.04413888,1.3893107,1.0800606,2.1390355,0.9971443,1.1295418,1.1448728,3.5076423,0.56626457,2.2311924,0
1.9276314,0.62082726,1.1572033,0.6596689,0.43228593,0.63586533,1.0377121,-0.002774682,0.2760464,1.198999,4.38395,0.7667456,1.078524,1.0794897,7.6488013,0.13957849,1.8491567,2
2.18346,1.0112091,1.2492795,0.3275349,0.24303332,0.47920442,0.6730033,-0.038340997,1.3240783,1.0816096,2.8296595,0.9461156,1.1118765,1.0968741,4.8486767,0.40630764,2.0822527,0
0.8336966,1.2924211,1.1089514,0.5004575,0.5094601,0.5506464,0.96783864,-0.05277732,1.2547874,1.0314434,1.8984699,0.9678648,1.0964063,1.1342493,3.1911573,0.58210325,2.269268,0
6.773961,1.0027564,1.0030994,0.64628905,0.5027675,0.5477903,1.0222739,-0.029872442,1.1070662,0.89978015,0.9798448,1.1396823,1.158855,0.68153656,1.8908495,0.9824281,3.0999913,0
10.201299,0.9199786,1.0921984,0.6988562,0.4456708,0.5430489,0.9960692,-0.007302402,1.1348261,0.9045212,1.0408356,1.2651626,1.2361333,0.5678383,1.7196195,1.1157545,3.288053,0
8.695385,2.0483775,1.4065416,0.3668521,-0.5057889,1.430815,1.0390044,0.16410807,5.7438574,1.1802886,9.778523,5.2672567,4.808147,7.2774568,3.9261131,0.93095595,0.8051182,2
1.138772,1.2450216,1.1896808,0.5432839,0.6766498,0.56903416,0.91852355,-0.080757625,1.0337813,1.02602,2.1365142,1.480845,1.2976984,1.6865826,3.0801282,0.34413278,1.9753144,0
0.7001997,1.374825,1.2543224,0.9002325,1.2896867,0.74549574,1.374308,-0.12764332,0.5683041,1.1664371,1.5681608,2.2678335,1.5725269,2.4688833,2.0701728,0.44255424,2.4523282,0
2.788691,0.98930436,1.2191,0.36025488,0.23667955,0.47203425,0.7208431,-0.018858215,1.1001801,1.0720977,2.8879898,0.90029866,1.0846357,1.073129,4.431541,0.39923102,1.8732864,0
2.1606529,1.238734,1.1772842,0.5715505,0.4730932,0.55759215,1.0332611,-0.01055954,0.88674927,1.095064,2.5791748,0.9203581,1.0828019,1.1836871,3.3744254,0.5070474,1.8175054,0
4.0289593,1.1082398,1.1736614,0.45581305,0.3272614,0.49094802,0.82633865,-0.017062876,1.1665976,1.0053378,2.039857,0.9971285,1.0820189,1.0008855,2.8898458,0.6519527,2.2022781,0
2.4465733,1.1415348,1.2835172,0.6162672,0.5053851,0.59992474,1.1086957,-0.005769696,0.7168567,1.2639188,3.779027,0.9203825,1.229293,1.2558169,5.402818,0.28609347,1.6268463,2
6.7107525,0.80731195,1.4962595,0.774423,0.5505276,0.6977359,1.4968014,0.13561663,-0.33109874,1.7861017,7.9932218,1.1504123,1.3423536,1.3433163,10.804018,-0.15628187,0.9668923,0
1.1815221,1.365696,1.2891597,0.41014063,0.43100533,0.53067094,0.8468708,-0.057629578,1.5644662,1.1321068,2.488736,1.0471509,1.2127912,1.2494391,4.0785336,0.48203897,2.139511,0
3.2398481,1.1005452,1.1259623,0.40974325,0.3058485,0.47563943,0.7711067,-0.02706146,1.2034111,0.9634161,2.0382648,0.9483955,1.0688136,0.9849882,3.0204034,0.57144433,2.1112547,0
-6.6015077,-1.299937,-0.46591112,2.0429208,3.8231065,2.0585186,2.1185656,0.16511685,0.11965853,0.3590511,6.7500477,7.7656417,7.343942,5.173109,-2.3592505,-1.2952256,0.7868546,0
6.041164,0.8191292,1.3867054,0.40475568,0.1383011,0.45682448,0.7834544,0.041219123,0.6692985,1.2472718,3.8129885,0.9179598,1.1319582,1.0911177,4.8587613,0.39936987,1.5496997,0
3.4758127,1.5468223,1.4557335,0.51350194,0.40595207,0.8174643,0.9790559,0.005041942,1.3163064,1.2167224,3.2406058,1.004775,1.6061351,1.5163375,3.711882,0.46457887,1.4352529,2
0.85408026,1.4200451,1.2676823,0.49987453,0.5206764,0.5706291,0.96405756,-0.055020485,1.460849,1.1371591,2.3814683,1.0506794,1.1934063,1.2827158,3.8544607,0.5300814,2.1829448,2
1.7139378,1.5683689,1.5003288,0.39320856,0.4461515,0.6368108,0.8572401,-0.06549083,1.7947009,1.2909284,3.0758057,1.0932662,1.4578084,1.4663057,4.774043,0.4210183,2.005384,2
2.597283,1.2533408,1.2905546,0.40758526,0.35461494,0.50405633,0.818097,-0.033724874,1.4016399,1.115489,2.4274468,1.0351475,1.1571912,1.1792511,3.646459,0.55666655,2.1161275,0
5.3198586,1.0325507,1.1114556,0.45304012,0.32057092,0.4806472,0.7810012,-0.029831622,1.2814646,0.9320673,1.7550446,1.0477501,1.1473916,0.83207214,2.8144941,0.6989572,2.4849195,0
