Numberofreferences,NetSwitchingPower,Numberofnets,Numberofports,Numberofcells,Numberofsequentialcells,CombinationalSwitchingPower,CombinationalTotalPower,TotalDynamicPower,TotalSwitchingPower,TotalTotalPower,Label
-0.012934745,-0.011841531,-0.018261947,-0.011810107,0.07465303,0.016318643,0.014919194,-0.01794668,-0.015069223,-0.021080643,-0.018570755,1
-0.002635397,0.016707795,0.011985039,0.15563597,-0.02328033,-0.03672406,-0.017784135,0.007041326,-0.012455701,-0.016851848,-0.004602226,1
-0.017654188,-0.021471526,-0.024579778,-0.029618653,-0.12581757,-0.051834054,-0.05293106,-0.021616088,-0.01613849,-0.021077499,-0.01947368,1
-0.10230925,-0.05511902,-0.024415523,-0.021253956,-0.023166666,-0.034045458,-0.023081066,-0.01608193,-0.059143383,-0.021747649,-0.015409946,0
-0.01309438,-0.005620261,-0.004108342,0.061660387,0.12250577,0.33118594,0.33346203,-0.006774769,-0.009872164,-0.009291757,-0.01386345,1
0.12614672,0.01505792,-0.018205974,-0.017428087,-0.020436367,-0.00583345,-0.015577027,-0.01227122,0.013115639,-0.022888532,-0.023116216,0
0.025043229,0.012416512,0.009470161,0.10445834,0.06811866,0.013884628,-0.005169692,-0.009881925,-0.006205044,-0.014026402,-0.012270925,1
-0.023933314,-0.016178567,-0.016076867,-0.009056056,0.060378388,0.019133357,0.017734868,-0.01495794,-0.014629732,-0.017648242,-0.019264702,1
0.06009306,0.02432574,0.036537744,0.025929973,-0.07124568,-0.01821342,-0.075442575,0.022475949,0.018195461,0.018942088,0.046684418,1
-0.058611993,-0.027145805,-0.020164667,-0.022913482,-0.020606447,-0.003325794,-0.022448303,-0.012853166,-0.0357645,-0.023856262,-0.008129304,0
-0.011215243,-0.018137436,-0.014491586,-0.009812528,0.03552398,0.013028504,0.005596926,-0.021237351,-0.011359024,-0.020095622,-0.01533008,1
-0.014895677,-0.003052936,-0.002244817,0.07180089,0.14176933,0.33535698,0.34893227,-0.001204409,-0.00587486,0.006823703,-0.011847138,1
-0.03442792,0.21578284,0.22838391,1.3025663,0.11849481,-0.08693126,-0.06738064,0.033571698,0.004204429,0.05645545,0.056651745,1
