Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan
2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0
2.8306239,4.225129,20.9937,1.2587471,0.8464168,0.93469656,3.5245597,0.42994833,3.6183739,-0.6390493,8.303415,1.9128945,7.6412024,2.1939466,3.7580686,0.05946859,-3.175414,2
1.432077,1.0382042,1.3754288,0.3394588,0.30969054,0.5309708,0.6969136,-0.06291584,1.5599806,1.2146952,3.379854,1.0392647,1.2405711,1.209833,6.484942,0.33275133,2.3243861,0
4.52319,1.1334643,1.1344963,0.56308174,0.50728214,0.54681027,1.0309639,-0.036576465,1.2156684,1.0616201,1.3749428,1.1270027,1.1579311,0.9332464,2.4799771,0.9032453,2.9164343,0
3.0,0.125,1.0,0.063,0.008,0.5,0.125,0.0,1.0,1.0,5.0,1.0,1.0,1.0,9.0,0.2,2.0,0
6.678733,0.3020828,1.2155554,0.8994565,0.5791738,0.7688335,1.6286614,0.1912589,-1.1653001,1.7255038,9.344868,1.0799041,1.0781829,1.0974834,13.618086,-0.3739822,1.0161318,0
2.231984,1.7765095,1.5681837,0.4909132,0.5136228,0.83608407,0.98088527,-0.055978697,1.5991893,1.3381163,3.4407668,0.96591663,1.6472063,1.6574831,4.585708,0.35568964,1.5856271,2
2.0,0.5,1.0,0.125,0.063,0.5,0.25,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,0.333333,2.0,0
1.0,1.0,2.0,0.125,0.125,0.5,0.25,1.0,3.0,0.33333333,4.0,2.0,2.0,1.0,4.0,0.25,0.75,1
1.5364215,1.048914,1.2586597,0.3364585,0.28924084,0.5010255,0.6906667,-0.053305097,1.4219568,1.100747,2.9253004,0.9663934,1.1582745,1.126842,5.320121,0.36585507,2.1589646,0
5.9871225,2.1693802,1.9042109,1.0393916,0.7201475,1.3206906,1.6893227,0.13554487,0.55759865,1.8712413,4.968938,0.69694245,2.3342748,2.249594,4.4687576,0.42881608,0.5864346,2
8.189376,1.5570631,1.4863476,0.6471679,-0.08226169,1.1072618,1.3083533,0.239582,2.637379,1.4787943,7.3874726,2.6885886,3.2825832,3.8743336,4.908818,0.64098406,0.6184349,2
5.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0
9.0504265,1.5226481,1.3405403,0.20071065,-0.6495025,0.8495351,0.7109873,0.13599387,5.559277,1.4184396,9.790444,5.5775366,4.4859257,7.7855163,4.743086,0.7415629,1.4344767,2
6.2411027,1.2085913,1.2972541,0.580915,0.47398555,0.5584662,0.96857655,-0.032494403,1.4645934,1.1101749,1.9063075,1.249614,1.2988402,0.9792855,3.134942,0.85705465,2.850741,0
2.0,0.25,1.0,0.125,0.031,0.5,0.25,0.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,0.333333,2.333333,0
4.513657,1.0367696,1.4161211,0.52091694,0.33634982,0.5362933,0.989004,0.024764244,0.68664336,1.3411291,4.1161656,0.9490411,1.2383604,1.2517853,5.366218,0.3163244,1.4737773,0
2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0
3.4712307,0.53628284,1.422049,0.66662496,0.39572194,0.65965855,1.0706652,0.017304357,0.23221026,1.4664668,5.6590986,0.8646584,1.2430732,1.2223035,9.570171,0.042051382,1.7715354,2
5.0953197,1.0953977,1.0990041,0.50410086,0.40398824,0.5131748,0.8466526,-0.0432869,1.3613122,0.9342437,1.6554227,1.0904963,1.1987302,0.8345227,2.9068456,0.7188031,2.6419992,0
1.0,0.03125,1.0,0.0,0.0,0.5,0.0,0.0,128.0,1.0,134.0,128.0,128.0,1.0,13.0,0.007463,0.008221,1
6.0,1.0,1.0,0.25,0.25,0.5,0.5,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.5,2.0,0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,8.0,8.0,1.0,5.0,0.043478,0.070652,1
0.822924,1.5524218,1.2723495,0.7659403,0.99058676,0.72111285,1.5713953,-0.08633542,1.4329314,1.4260718,0.9103769,1.3518407,1.3072093,1.3225112,2.759496,1.2026691,3.82658,0
8.982407,1.4441749,1.2794812,0.22090217,-0.7356676,0.9584524,0.6849257,0.25001335,5.0574985,1.3185151,8.268012,4.5599966,4.375066,6.3511934,4.0846395,0.86074036,1.2893274,2
2.0,0.25,2.0,0.125,0.031,0.5,0.25,0.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,0.25,2.0,0
1.2092822,1.2321489,1.1479956,0.37322944,0.38535443,0.50158566,0.80985284,-0.058229465,1.3258723,0.9776063,2.0482397,0.96271086,1.1881531,1.0413437,3.5579119,0.51988155,2.1604588,0
