Line#,Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan?
157,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
160,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
161,1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
162,1,0.25,4,0.125,0.03125,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
168,1,0.5,2,0.125,0.0625,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
169,1,0.125,1,0.03125,0.00390625,0.5,0.0625,0,2,1,134,2,128,1,13,0.000116604,0.000874534,1
170,1,0.03125,1,9.183549616e-41,2.869859255e-42,0.5,1.836709923e-40,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
172,1,0.03125,0,0.03125,0.000976563,0.5,0.0625,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
177,1,0.5,1,0.0625,0.03125,0.5,0.125,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
178,1,0.0625,1,0.03125,0.001953125,0.5,0.0625,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
190,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
193,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
194,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
195,2,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
201,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
212,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
216,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
217,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
218,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
224,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
226,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
239,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
241,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
243,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
256,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
258,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
259,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
260,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
265,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
266,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
271,4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166666667,1.333333333,0
134,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
136,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
137,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
140,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
