Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan?
1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.25,4,0.125,0.031,0.5,0.25,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.5,2,0.125,0.063,0.5,0.25,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.125,1,0.031,0.004,0.5,0.063,0,2,1,134,2,128,1,13,0.000117,0.000875,1
1,0.03125,1,0,0,0.5,0,0,128,1,134,128,128,1,13,0.007463,0.008221,1
1,0.03125,0,0.031,0.001,0.5,0.063,0,128,1,134,128,128,1,13,0.007463,0.008221,1
1,0.5,1,0.063,0.031,0.5,0.125,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.0625,1,0.031,0.002,0.5,0.063,0,1,1,134,1,128,1,13,0.000058,0.000816,1
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.25,1,0.125,0.031,0.5,0.25,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166667,1.333333,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
0,1,1,0,0,1,0,0,128,1,128,128,128,128,2,0.007813,1.000122,1
1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.25,4,0.125,0.031,0.5,0.25,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.5,2,0.125,0.063,0.5,0.25,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.125,1,0.031,0.004,0.5,0.063,0,2,1,6,2,2,1,12,0.166667,1.166667,0
1,0.5,1,0.063,0.031,0.5,0.125,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.0625,1,0.031,0.002,0.5,0.063,0,1,1,6,1,2,1,12,0.083333,1.083333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.25,1,0.125,0.031,0.5,0.25,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
