circuit,TF-value,TI-value,T-EV-value,conf,cred,p-TF,p-TI,T-EV,y-test,y-pred
1,TRUE,FALSE,FALSE,0.998,0.32,0.319112706,0.001086118,0.002920845,TF,0
2,TRUE,FALSE,FALSE,0.994,0.242,0.243005808,0.001921089,0.005245849,TF,0
3,TRUE,TRUE,FALSE,0.922,0.16,0.159615229,0.078895258,0.017259262,TF,0
4,TRUE,TRUE,TRUE,0.887,0.121,0.112911481,0.052591874,0.119819533,T-EV,2
5,TRUE,FALSE,FALSE,0.999,0.645,0.64418294,0.000288268,0.000895931,TF,0
6,FALSE,FALSE,TRUE,0.999,0.971,0.001172484,0.000541079,0.969690587,T-EV,2
7,TRUE,FALSE,FALSE,0.997,0.3,0.30044057,0.000911659,0.003088804,TF,0
8,FALSE,TRUE,FALSE,0.999,0.954,0.001203666,0.954759016,0.000118764,TI,1
9,TRUE,FALSE,FALSE,0.998,0.426,0.425563429,0.001263133,0.00307483,TF,0
10,FALSE,TRUE,FALSE,0.999,0.562,0.000618935,0.562108169,0.000497077,TI,1
11,TRUE,TRUE,FALSE,0.933,0.175,0.175909187,0.066726738,0.044100563,TF,0
12,TRUE,FALSE,FALSE,0.988,0.231,0.230507824,0.002484132,0.011905203,TF,0
13,TRUE,FALSE,FALSE,0.969,0.208,0.208310508,0.001721268,0.031456412,TF,0
14,TRUE,FALSE,FALSE,0.999,0.873,0.919805314,0.001177089,0.000787469,TF,0
15,TRUE,FALSE,TRUE,0.93,0.167,0.167402621,0.012328173,0.070035245,TF,0
16,TRUE,TRUE,TRUE,0.892,0.124,0.112290567,0.123434501,0.061013679,TI,1
17,TRUE,FALSE,FALSE,0.999,0.824,0.823566389,0.000173734,0.001562197,TF,0
18,TRUE,FALSE,TRUE,0.931,0.167,0.166678711,0.011845891,0.070017197,TF,0
19,TRUE,TRUE,FALSE,0.906,0.136,0.093520183,0.136294961,0.047792337,TI,1
20,TRUE,FALSE,FALSE,0.999,0.836,0.876322491,0.001032192,0.000768055,TF,0
21,TRUE,FALSE,FALSE,0.997,0.456,0.456395779,0.001441006,0.003200181,TF,0
22,TRUE,FALSE,TRUE,0.894,0.13,0.130064291,0.046709947,0.105658012,TF,0
23,TRUE,FALSE,FALSE,0.998,0.32,0.319216282,0.001340997,0.00284914,TF,0
24,TRUE,FALSE,FALSE,0.999,0.931,0.931641927,0.000569301,0.001017742,TF,0
25,TRUE,FALSE,FALSE,0.998,0.892,0.889958018,0.00048596,0.000285487,TF,0
26,TRUE,FALSE,FALSE,0.999,0.484,0.483519054,0.001080999,0.001177028,TF,0
27,TRUE,FALSE,FALSE,0.997,0.441,0.439933192,0.001248341,0.002691488,TF,0
28,TRUE,FALSE,TRUE,0.915,0.146,0.145796289,0.031826574,0.085033608,TF,0
29,TRUE,FALSE,FALSE,0.998,0.532,0.538143869,0.000196983,0.000550587,TF,0
30,TRUE,FALSE,FALSE,0.999,0.779,0.777941941,0.001246723,0.00107986,TF,0
31,FALSE,FALSE,TRUE,0.998,0.313,0.003172065,0.001387291,0.312435916,T-EV,2
32,TRUE,FALSE,FALSE,0.998,0.265,0.265170747,0.000194703,0.001953139,TF,0
33,TRUE,FALSE,TRUE,0.915,0.146,0.084694333,0.031492792,0.14577918,T-EV,2
34,TRUE,FALSE,FALSE,0.998,0.316,0.316506378,0.000803543,0.002758327,TF,0
35,FALSE,FALSE,TRUE,0.999,0.964,7.22E-05,0.000117641,0.963008034,T-EV,2
36,TRUE,FALSE,FALSE,0.953,0.188,0.186920319,0.002428319,0.046851068,TF,0
37,TRUE,FALSE,FALSE,0.997,0.456,0.4570932,1.12E-05,0.003105249,TF,0
38,FALSE,TRUE,FALSE,0.999,0.828,0.001197538,0.826895414,0.000386494,TI,1
39,TRUE,TRUE,TRUE,0.898,0.131,0.105930612,0.072017484,0.131690001,T-EV,2
40,TRUE,FALSE,FALSE,0.999,0.782,0.781113928,9.52E-05,0.000247345,TF,0
41,FALSE,FALSE,TRUE,0.999,0.632,0.001046074,0.00148978,0.631795806,T-EV,2
42,TRUE,FALSE,FALSE,0.999,0.58,0.579711308,0.001019378,0.000385354,TF,0
43,TRUE,FALSE,FALSE,0.998,0.317,0.316141379,0.001488251,0.002760594,TF,0
44,TRUE,FALSE,FALSE,0.999,0.545,0.54498102,0.000204545,0.00063877,TF,0
45,TRUE,FALSE,FALSE,0.999,0.482,0.481805493,0.000404697,0.001514189,TF,0
46,TRUE,TRUE,TRUE,0.886,0.121,0.114211453,0.120611201,0.052221003,TI,1
47,TRUE,FALSE,FALSE,0.995,0.254,0.253660848,0.002352862,0.004783937,TF,0
48,TRUE,FALSE,FALSE,0.999,0.741,0.748239897,0.000531133,0.001526754,TF,0
49,TRUE,FALSE,FALSE,0.994,0.251,0.249858061,0.003156043,0.006419467,TF,0
50,TRUE,FALSE,FALSE,0.999,0.606,0.606486136,0.00046551,0.000874579,TF,0
51,TRUE,FALSE,FALSE,0.999,0.685,0.689064595,0.000273856,0.001048278,TF,0
52,TRUE,FALSE,FALSE,0.999,0.88,0.916927886,0.000808577,0.000255669,TF,0
53,TRUE,FALSE,FALSE,0.997,0.396,0.397288319,0.001435812,0.001917113,TF,0
54,TRUE,FALSE,FALSE,1,0.922,0.880706747,0.000580325,0.000844939,TF,0
55,TRUE,FALSE,FALSE,1,0.853,0.887322772,0.000210091,0.001448731,TF,0
56,TRUE,FALSE,FALSE,0.994,0.245,0.246158123,0.00320558,0.005945162,TF,0
57,TRUE,FALSE,FALSE,0.999,0.719,0.718853964,0.001433288,0.000978531,TF,0
58,TRUE,FALSE,FALSE,0.999,0.636,0.636996744,0.000747296,0.001101132,TF,0
59,TRUE,FALSE,FALSE,0.999,0.933,0.932445136,0.000204599,8.62E-05,TF,0
60,TRUE,FALSE,FALSE,0.952,0.184,0.184901115,0.001643391,0.049360314,TF,0
61,FALSE,FALSE,TRUE,0.999,0.823,0.001409819,0.001549357,0.824122201,T-EV,2
62,TRUE,FALSE,FALSE,0.999,0.941,0.941323401,0.000809436,0.000692469,TF,0
63,TRUE,FALSE,FALSE,0.974,0.209,0.209927571,0.003154769,0.027026801,TF,0
64,TRUE,FALSE,FALSE,0.997,0.336,0.335917839,0.000802437,0.002418064,TF,0
65,TRUE,FALSE,FALSE,0.999,0.495,0.49450466,0.000166337,5.75E-05,TF,0
66,TRUE,FALSE,FALSE,0.999,0.682,0.687488484,2.41E-05,0.001037362,TF,0
67,TRUE,FALSE,TRUE,0.916,0.146,0.083943848,0.04398264,0.14519931,T-EV,2
