Numberofreferences,NetSwitchingPower,Numberofnets,Numberofports,Numberofcells,Numberofsequentialcells,CombinationalSwitchingPower,CombinationalTotalPower,TotalDynamicPower,TotalSwitchingPower,TotalTotalPower,Label
-0.009385164,-0.011405299,-0.019820927,-0.00615629,0.10037191,0.026348392,0.03173076,-0.02230184,-0.01403354,-0.021890357,-0.019616911,1
-0.014627258,-0.01580517,-0.022608232,-0.004411442,-0.09817171,-0.020946287,-0.020865764,-0.022192942,-0.0143269105,-0.024209673,-0.025488723,1
-0.011576193,-0.016087905,-0.0105505595,0.05592668,0.088211104,0.31721357,0.31691313,-0.0074805645,-0.012652687,-0.013189011,-0.01720549,1
-0.024465252,-0.019537978,-0.01922172,-0.013048364,0.016269788,-0.003298467,-0.004775891,-0.018288955,-0.01399064,-0.018321678,-0.017480206,1
0.0036151735,-0.0108758835,-0.012011825,0.033273976,0.073908366,0.15353046,0.15557154,-0.01754082,-0.011560635,-0.012276893,-0.012420083,1
0.095393844,0.259131,0.23687427,0.39819935,0.03572777,-0.0822568,-0.09615264,0.091829196,0.12077186,0.1479118,0.28478765,1
-0.027391009,0.30526757,0.3135754,1.7038281,0.13612482,-0.108547695,-0.10461775,0.064372845,0.034919854,0.07183529,0.06172705,1
-0.009928909,-0.011854391,-0.017288342,-0.010011269,0.052010797,0.011715813,0.007685774,-0.01762826,-0.013112205,-0.01878288,-0.017488584,1
-0.002238647,-0.014006221,-0.0022419188,0.04860165,0.06520846,0.3142122,0.32090947,-0.0030292207,-0.010524365,-0.011659502,-0.010408253,1
-0.0148317395,-0.01635003,-0.01774265,0.0056089554,-0.026062457,0.0066140387,-0.0019408483,-0.021782627,-0.016137924,-0.022401916,-0.01751924,1
0.0129479915,0.028777428,0.045935065,0.20306629,-0.00064985827,-0.035644233,-0.05469965,0.022578018,-0.006904292,0.021020662,-0.005206595,1
0.007839888,0.2234871,0.26349697,1.5239061,0.18817055,-0.10512841,-0.108256444,0.09538657,0.062269036,0.08205752,0.005679887,1
-0.023003422,-0.021628566,-0.028722536,-0.03445892,-0.11986651,-0.0619551,-0.06564958,-0.017563168,-0.014165278,-0.015971147,-0.020313744,1
-0.009494727,-0.005917358,0.0012969328,0.061127536,0.13066971,0.3288903,0.3263343,-0.005651053,-0.008419751,-0.010233249,-0.01381471,1
-0.013014526,-0.004157244,-0.0006742738,0.070577554,-0.08563482,0.30294597,0.30958134,-0.0038288739,-0.008991846,-0.008668133,-0.014238596,1
0.008710859,0.19937165,0.23518364,1.4049795,0.18517892,-0.12262186,-0.13472426,0.076505944,0.06780322,0.066858314,0.011006001,1
-0.027396187,-0.021042053,-0.019379009,-0.023337116,0.044767432,-0.0058058677,-0.0092346985,-0.013629271,-0.013856064,-0.013945692,-0.014358312,1
0.061621644,-0.01342567,-0.012623666,-0.047743164,-0.0493228,-0.0006399825,-0.0770769,-0.030356426,-0.025468271,-0.037926875,0.0023387745,1
-0.026054934,-0.02392618,-0.022589378,-0.040830597,0.010215133,-0.038189672,-0.045950066,-0.016614396,-0.01582598,-0.02048336,-0.017498672,1
-0.015126559,-0.020951927,-0.024745984,-0.031061651,-0.13019818,-0.048071582,-0.047581784,-0.020782406,-0.015086959,-0.020268168,-0.01985566,1
-0.014513346,-0.011884439,-0.017483119,-0.0056419093,0.13139324,0.029266858,0.035725113,-0.01598666,-0.010112754,-0.01585243,-0.020399652,1
0.06694411,0.086456224,0.08211179,0.14060268,-0.07875111,0.18321833,0.14204684,0.062387004,0.07795077,0.066086136,0.066513315,1
-0.0053173965,-0.006056535,-0.002562401,0.071379796,0.06789953,0.3211338,0.32039377,-0.0069710817,-0.008265275,-0.008169939,-0.011053286,1
0.01793777,-0.01730375,-0.010040742,-0.01708552,-0.010718536,0.008977395,-0.03824813,-0.02229054,-0.015394728,-0.024876878,-0.0026677996,1
-0.04461879,0.22794566,0.21079573,1.4978848,0.046493255,-0.10277961,-0.094128214,0.005074272,-0.04298553,-0.04547169,0.071554035,1
-0.0022085877,-0.0037936578,-0.0029917285,0.058191568,0.04775355,0.2672243,0.26848212,-0.00914786,-0.01377898,-0.006478808,-0.010217407,1
-0.020743303,-0.021880805,-0.026608348,-0.031714655,-0.12848364,-0.05078002,-0.049902678,-0.018665962,-0.014473843,-0.017452285,-0.01894391,1
-0.025940947,-0.020853095,-0.023517191,-0.009229654,0.047982544,0.012725314,0.02224237,-0.019778237,-0.01257171,-0.0177869,-0.021597356,1
-0.018215109,-0.009627725,-0.0071417494,0.07406237,-0.07467662,0.30919018,0.3107242,-0.0007718485,-0.011636368,-0.0035671527,-0.012349675,1
-0.015048902,0.18304166,0.2077267,1.2806156,0.13903247,-0.094061166,-0.071762875,0.07345382,0.043843977,0.068285555,0.010572296,1
-0.01736179,-0.004516504,-0.0052371877,0.067749314,-0.0849741,0.3022694,0.3058018,-0.0030994117,-0.008555806,-0.005624129,-0.013845682,1
0.013222413,-0.007744721,-0.010244276,0.029781392,0.15772133,0.16417286,0.15678035,-0.017441804,-0.01499075,-0.014094254,-0.011775149,1
0.0035437206,-0.014880086,-0.0222735,-0.028381737,-0.07910691,-0.04702534,-0.07182413,-0.018220093,-0.014145776,-0.021408968,-0.015866015,1
-0.057753406,0.32885376,0.29857242,1.4870154,0.034836665,-0.11138472,-0.17673294,-0.03690504,-0.025550466,0.046223022,0.15246437,1
-0.015515816,-0.014526493,-0.008337658,0.056998685,0.024655774,0.3146349,0.31796637,-0.00567716,-0.010062213,-0.012742889,-0.0102309575,1
