Numberofreferences,NetSwitchingPower,Numberofnets,Numberofports,Numberofcells,Numberofsequentialcells,CombinationalSwitchingPower,CombinationalTotalPower,TotalDynamicPower,TotalSwitchingPower,TotalTotalPower,Label
-0.091382496,-0.024316018,-0.01752655,-0.018109886,-0.017582554,-0.0062708873,-0.020165464,-0.013666974,-0.02601806,-0.02061936,-0.0088403635,0
-0.030239489,-0.021665297,-0.015609,-0.005184506,-0.017348105,0.0026489953,-0.013611594,-0.0067676897,-0.026746685,-0.012264358,-0.009839038,0
0.12372747,0.3621174,-0.0010771542,0.0028094377,0.008406034,0.09529757,0.028448466,0.012808822,0.3346436,0.0041558743,-0.031868376,0
-0.10996778,-0.061900336,-0.027620312,-0.017786836,-0.024204765,-0.037305254,-0.023716168,-0.014208401,-0.06583041,-0.02040597,-0.015814608,0
0.120557144,-0.05522357,-0.023608884,-0.022110628,-0.015395036,-0.02224784,-0.01772878,-0.01987202,-0.042839445,-0.017712032,-0.004903705,0
0.050442055,0.12424225,0.001981155,-0.008982229,-0.00872129,0.033011306,0.00214324,0.006789262,0.10989902,0.0021031348,-0.03762232,0
-0.07936028,-0.02218013,-0.022080688,-0.02368585,-0.022440886,-0.0034484626,-0.022988558,-0.015130414,-0.027777923,-0.016583992,-0.0153465755,0
-0.10013131,-0.023473812,-0.014483267,-0.017476764,-0.020296998,-0.007351087,-0.019451054,-0.0114954,-0.031924177,-0.014772916,-0.020024894,0
0.11151859,0.0043457514,-0.024716778,-0.015199763,-0.023545092,-0.009444625,-0.014213446,-0.01772905,0.01358393,-0.029755795,-0.01940062,0
0.18110943,0.028709939,-0.01420117,-0.018370908,-0.0156191215,0.0044468944,-0.004937363,-0.023651985,0.029810889,-0.016198238,-0.01689439,0
0.000408547,-0.06545896,-0.022501618,-0.026747938,-0.024355974,-0.048002064,-0.019285388,-0.02309764,-0.0686733,-0.022050332,-0.013113658,0
0.047749322,-0.010519728,-0.015611927,-0.014205972,-0.015145626,-0.015515436,-0.023347413,-0.017590048,-0.014034091,-0.019707259,-0.010216259,0
-0.08616339,-0.05333785,-0.021180362,-0.017937686,-0.023123749,-0.039530206,-0.030624293,-0.0063265176,-0.06860339,-0.018993294,-0.013988377,0
-0.037583195,-0.03618842,-0.016823297,-0.015675876,-0.020131834,-0.012400275,-0.021506576,-0.018832844,-0.026766097,-0.019491483,-0.016091889,0
-0.022481559,-0.044598605,-0.0249521,-0.013683925,-0.018353572,-0.023949614,-0.022842973,-0.011085102,-0.050545797,-0.0228872,-0.015112605,0
